TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
7358059	2.16.840.1.113883.6.5.2.1	749.21		
792058	2.16.840.1.113883.6.5.2.1	372.02		
9553158059	2.16.840.1.113883.6.5.2.1	327.51		
6724055	2.16.840.1.113883.6.5.2.1	657.00		
9534774055	2.16.840.1.113883.6.5.2.1	299.11		
9555519056	2.16.840.1.113883.6.5.2.1	491.21		
251053	2.16.840.1.113883.6.5.2.1	251.1		
4712051	2.16.840.1.113883.6.5.2.1	289.6		
5836051	2.16.840.1.113883.6.5.2.1	437.6		
5691059	2.16.840.1.113883.6.5.2.1	394.9		
1755054	2.16.840.1.113883.6.5.2.1	757.9		
841056	2.16.840.1.113883.6.5.2.1	378.00		
5347054	2.16.840.1.113883.6.5.2.1	371.60		
1530058	2.16.840.1.113883.6.5.2.1	719.46		
875055	2.16.840.1.113883.6.5.2.1	379.59		
760059	2.16.840.1.113883.6.5.2.1	368.59		
3254055	2.16.840.1.113883.6.5.2.1	008.5		
6631050	2.16.840.1.113883.6.5.2.1	638.7		
3968057	2.16.840.1.113883.6.5.2.1	160.0		
8665059	2.16.840.1.113883.6.5.2.1	918.1		
9535833056	2.16.840.1.113883.6.5.2.1	659.70		
9536072053	2.16.840.1.113883.6.5.2.1	707.10		
5864059	2.16.840.1.113883.6.5.2.1	444.22		
9555465055	2.16.840.1.113883.6.5.2.1	958.90		
2244052	2.16.840.1.113883.6.5.2.1	826.0		
6032057	2.16.840.1.113883.6.5.2.1	506.4		
5258055	2.16.840.1.113883.6.5.2.1	369.01		
5943057	2.16.840.1.113883.6.5.2.1	466.11		
9553504055	2.16.840.1.113883.6.5.2.1	V18.69		
9547232058	2.16.840.1.113883.6.5.2.1	530.85		
9554883052	2.16.840.1.113883.6.5.2.1	E926.9		
8723057	2.16.840.1.113883.6.5.2.1	927.3		
1366058	2.16.840.1.113883.6.5.2.1	684		
9540365053	2.16.840.1.113883.6.5.2.1	E906.3		
2098058	2.16.840.1.113883.6.5.2.1	802.8		
6864052	2.16.840.1.113883.6.5.2.1	696.5		
6728057	2.16.840.1.113883.6.5.2.1	658.40		
3840057	2.16.840.1.113883.6.5.2.1	132.2		
9542101056	2.16.840.1.113883.6.5.2.1	770.81		
3605055	2.16.840.1.113883.6.5.2.1	088.81		
2263053	2.16.840.1.113883.6.5.2.1	836.1		
9550260051	2.16.840.1.113883.6.5.2.1	998.32		
1402055	2.16.840.1.113883.6.5.2.1	698.9		
9549795051	2.16.840.1.113883.6.5.2.1	252.00		
9553429050	2.16.840.1.113883.6.5.2.1	V12.3		
6422055	2.16.840.1.113883.6.5.2.1	594.0		
5688059	2.16.840.1.113883.6.5.2.1	394.0		
9553404057	2.16.840.1.113883.6.5.2.1	V10.11		
6976053	2.16.840.1.113883.6.5.2.1	717.6		
1459055	2.16.840.1.113883.6.5.2.1	717.40		
1139052	2.16.840.1.113883.6.5.2.1	579.3		
1188052	2.16.840.1.113883.6.5.2.1	606.9		
1440057	2.16.840.1.113883.6.5.2.1	709.00		
649056	2.16.840.1.113883.6.5.2.1	342.90		
6762057	2.16.840.1.113883.6.5.2.1	665.80		
6844055	2.16.840.1.113883.6.5.2.1	692.74		
1660055	2.16.840.1.113883.6.5.2.1	741.90		
4976050	2.16.840.1.113883.6.5.2.1	354.0		
4336053	2.16.840.1.113883.6.5.2.1	207.80		
823051	2.16.840.1.113883.6.5.2.1	375.42		
8870051	2.16.840.1.113883.6.5.2.1	943.20		
4149051	2.16.840.1.113883.6.5.2.1	197.2		
4394054	2.16.840.1.113883.6.5.2.1	216.7		
5104055	2.16.840.1.113883.6.5.2.1	362.84		
9553646055	2.16.840.1.113883.6.5.2.1	333.72		
3730053	2.16.840.1.113883.6.5.2.1	110.2		
6972050	2.16.840.1.113883.6.5.2.1	716.95		
9534730057	2.16.840.1.113883.6.5.2.1	290.3		
494058	2.16.840.1.113883.6.5.2.1	302.85		
302053	2.16.840.1.113883.6.5.2.1	270.9		
4788056	2.16.840.1.113883.6.5.2.1	296.26		
4165052	2.16.840.1.113883.6.5.2.1	198.89		
1712050	2.16.840.1.113883.6.5.2.1	752.9		
9553468056	2.16.840.1.113883.6.5.2.1	V15.84		
278050	2.16.840.1.113883.6.5.2.1	259.2		
1200052	2.16.840.1.113883.6.5.2.1	608.86		
6860056	2.16.840.1.113883.6.5.2.1	696.1		
